epoch,loss,lr,mae,rmse,val_loss,val_mae,val_rmse
0,0.22289209067821503,1e-05,0.655107855796814,0.8374693393707275,0.038595378398895264,0.2210734784603119,0.2784820795059204
1,0.21564821898937225,1e-05,0.6400014758110046,0.8239679932594299,0.045002054423093796,0.2328411340713501,0.3013613224029541
2,0.2070712149143219,1e-05,0.6193750500679016,0.8207807540893555,0.040084172040224075,0.2260577380657196,0.28405946493148804
3,0.20166169106960297,1e-05,0.6080626249313354,0.7836350798606873,0.041412483900785446,0.22983551025390625,0.2885668873786926
4,0.18892516195774078,5e-06,0.5801122188568115,0.751166582107544,0.03974276781082153,0.22849127650260925,0.2824012339115143
5,0.20773693919181824,5e-06,0.6219940185546875,0.8138525485992432,0.04606239125132561,0.24844340980052948,0.30508413910865784
6,0.199545755982399,5e-06,0.6051746606826782,0.7600163817405701,0.044144608080387115,0.23868918418884277,0.298340767621994
7,0.19316580891609192,2.5e-06,0.5886890292167664,0.7626872658729553,0.04467812925577164,0.24504244327545166,0.3004179894924164
8,0.19808532297611237,2.5e-06,0.6016524434089661,0.7855786085128784,0.051796529442071915,0.2695819139480591,0.32562553882598877
9,0.19448982179164886,2.5e-06,0.5905196666717529,0.7731077075004578,0.06299760937690735,0.2977288067340851,0.3622625172138214
10,0.20207202434539795,1.25e-06,0.612074613571167,0.7882459759712219,0.0782008096575737,0.33495375514030457,0.4111545979976654
